name,price,review_count,alias,Phone1,city,country,state,address1,zip_code,latitude,longitude,image_url,rating
The City Arms,2.0,15,pubs,1,Manchester,GB,XGM,48 Kennedy Street,M2 4BQ,53.479339,-2.242945,https://s3-media1.fl.yelpcdn.com/bphoto/Lvx4QDkIjifUVjNfDpkAFQ/o.jpg,4.5
Earth,1.0,38,vegetarian,1,Manchester,GB,XGM,16-20 Turner Street,M4 1DZ,53.4824574136,-2.2377857,https://s3-media1.fl.yelpcdn.com/bphoto/i5mEzxmfeA0MM2H1J5pDKQ/o.jpg,4.0
Vivid Lounge,2.0,17,coffee,1,Manchester,GB,XGM,149A Great Ancoats Street,M4 6DH,53.4801651875,-2.22334562231,https://s3-media2.fl.yelpcdn.com/bphoto/TNFH99MDpjD7dTTSFAr8sA/o.jpg,4.5
Yard & Coop,2.0,54,bars,1,Manchester,GB,XGM,23-37 Edge Street,M4 1HW,53.4845221,-2.2364447,https://s3-media3.fl.yelpcdn.com/bphoto/AMObFcCAi079OgI0CLwaVg/o.jpg,4.0
San Carlo Cicchetti,2.0,47,tapasmallplates,1,Manchester,GB,XGM,40-42 King Street W,M3 2WY,53.4815483,-2.2491516,https://s3-media2.fl.yelpcdn.com/bphoto/IhJO-PR_sZQT3pDDVtO0uA/o.jpg,4.0
The Blue Pig,2.0,29,french,1,Manchester,GB,XGM,69 High St Manchester,M4 1FS,53.4842949,-2.2381227,https://s3-media1.fl.yelpcdn.com/bphoto/sNCR6PTkDJuuWTsKdI5xBg/o.jpg,4.0
Dimitri's,2.0,58,greek,1,Manchester,GB,XGM,Campfield Arcade,M3 4FN,53.476149071,-2.25105940839,https://s3-media3.fl.yelpcdn.com/bphoto/z_hWkoB_nqBcZJJsnD4qQQ/o.jpg,4.0
Bangers & Bacon,1.0,13,british,1,Manchester,GB,XGM,Unit 2,M3 3AG,53.4809930262,-2.25404157933,https://s3-media4.fl.yelpcdn.com/bphoto/aQ9OI5ZQd6yx57rbW0h8tQ/o.jpg,4.5
Viet Shack,1.0,31,vietnamese,0,Manchester,GB,XGM,Arndale Food Court,M4,53.4837244,-2.2393997,https://s3-media4.fl.yelpcdn.com/bphoto/juQlVhbGhI4Kd5kPJI-uQg/o.jpg,4.0
The Grill on New York Street,3.0,35,steak,1,Manchester,GB,XGM,New York Street,M1 4BD,53.4798505103,-2.23843768324,https://s3-media2.fl.yelpcdn.com/bphoto/0wVagjduT1LXzWEeUC_DEQ/o.jpg,4.0
The Oxnoble,2.0,30,gastropubs,1,Manchester,GB,XGM,71 Liverpool Road,M3 4NQ,53.476011,-2.252885,https://s3-media2.fl.yelpcdn.com/bphoto/gGGsbWsePFdVRpbUfUMkJA/o.jpg,4.0
